Date,Open,High,Low,Close,Adj Close,Volume
2/3/2020,134.738007,157.227997,134.703995,156,156,236167500
2/4/2020,176.591995,193.798004,166.776001,177.412003,177.412003,304694000
2/5/2020,164.651993,169.195999,140.822006,146.940002,146.940002,242119000
2/6/2020,139.983994,159.166,137.399994,149.792007,149.792007,199404000
2/7/2020,146.110001,153.949997,146,149.613998,149.613998,85317500
2/10/2020,160,163.998001,150.479996,154.255997,154.255997,123446000
2/11/2020,153.757996,156.701996,151.600006,154.876007,154.876007,58487500
2/12/2020,155.574005,157.949997,152.673996,153.457993,153.457993,60112500
2/13/2020,148.367996,163.600006,147,160.800003,160.800003,131446500
2/14/2020,157.444,162.593994,157.100006,160.005997,160.005997,78468500
2/18/2020,168.320007,172,166.472,171.679993,171.679993,81908500
2/19/2020,184.699997,188.955994,180.203995,183.483994,183.483994,127115000
2/20/2020,182.389999,182.399994,171.988007,179.882004,179.882004,88174500
2/21/2020,181.395996,182.612,176.089996,180.199997,180.199997,71574000
2/24/2020,167.800003,172.699997,164.440002,166.757996,166.757996,75961000
2/25/2020,169.800003,171.320007,157.399994,159.981995,159.981995,86452500
2/26/2020,156.5,162.662003,155.222,155.759995,155.759995,70427500
2/27/2020,146,147.953995,133.800003,135.800003,135.800003,121386000
2/28/2020,125.940002,138.104004,122.304001,133.598007,133.598007,122821000
3/2/2020,142.251999,148.738007,137.334,148.723999,148.723999,100975000
3/3/2020,161,161.395996,143.222,149.102005,149.102005,128920000
3/4/2020,152.792007,153.304001,144.945999,149.899994,149.899994,75245000
3/5/2020,144.753998,149.149994,143.613998,144.908005,144.908005,54263500
3/6/2020,138,141.399994,136.854004,140.695999,140.695999,63314500
3/9/2020,121.078003,132.600006,121,121.599998,121.599998,85368500
3/10/2020,131.886002,133.600006,121.599998,129.065994,129.065994,77972000
3/11/2020,128.039993,130.716003,122.599998,126.846001,126.846001,66612500
3/12/2020,116.178001,118.900002,109.25,112.110001,112.110001,94545500
3/13/2020,119,121.514,100.400002,109.323997,109.323997,113201500
3/16/2020,93.900002,98.973999,88.433998,89.014,89.014,102447500
3/17/2020,88.001999,94.370003,79.199997,86.040001,86.040001,119973000
3/18/2020,77.800003,80.972,70.101997,72.244003,72.244003,118931000
3/19/2020,74.940002,90.400002,71.692001,85.528,85.528,150977500
3/20/2020,87.639999,95.400002,85.157997,85.505997,85.505997,141427500
3/23/2020,86.720001,88.400002,82.099998,86.858002,86.858002,82272500
3/24/2020,95.459999,102.737999,94.800003,101,101,114476000
3/25/2020,109.050003,111.400002,102.222,107.849998,107.849998,106113500
3/26/2020,109.477997,112,102.449997,105.632004,105.632004,86903500
3/27/2020,101,105.160004,98.806,102.872002,102.872002,71887000
3/30/2020,102.052002,103.330002,98.246002,100.426003,100.426003,59990500
3/31/2020,100.25,108.592003,99.400002,104.800003,104.800003,88857500
4/1/2020,100.800003,102.790001,95.019997,96.311996,96.311996,66766000
4/2/2020,96.206001,98.851997,89.279999,90.893997,90.893997,99292000
4/3/2020,101.900002,103.098,93.678001,96.001999,96.001999,112810500
4/6/2020,102.239998,104.199997,99.592003,103.248001,103.248001,74509000
4/7/2020,109,113,106.468002,109.089996,109.089996,89599000
4/8/2020,110.839996,111.442001,106.666,109.767998,109.767998,63280000
4/9/2020,112.417999,115.036003,111.421997,114.599998,114.599998,68250000
4/13/2020,118.031998,130.399994,116.106003,130.190002,130.190002,112377000
4/14/2020,139.794006,148.376007,138.485992,141.977997,141.977997,152882500
4/15/2020,148.399994,150.626007,142,145.966003,145.966003,117885000
4/16/2020,143.388,151.889999,141.343994,149.042007,149.042007,103289500
4/17/2020,154.455994,154.990005,149.531998,150.778,150.778,65641000
4/20/2020,146.539993,153.113998,142.442001,149.272003,149.272003,73733000
4/21/2020,146.024002,150.666,134.757996,137.343994,137.343994,101045500
4/22/2020,140.796005,146.800003,137.742004,146.421997,146.421997,71124000
4/23/2020,145.520004,146.800003,140.626007,141.126007,141.126007,66183500
